Filename,Parties,Agreement Date,Effective Date,Expiration Date,Renewal Term,Notice Period To Terminate Renewal,Parties-Answer,Agreement Date-Answer,Effective Date-Answer,Expiration Date-Answer,Renewal Term-Answer,Notice Period To Terminate Renewal- Answer
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement.PDF","['Hemispherx Biopharma, Inc.', 'Scientific Products Pharmaceutical Co. LTD.', 'HEMISPHERX', 'SCIENTIFIC PRODUCTS PHARMACEUTICAL CO. LTD', 'HEMISPHERX BIOPHARMA, INC', 'SCIEN']",['3-31-16'],"['This Agreement shall become effective when it shall have been executed by all parties and upon receipt of all counterparts hereof that, when taken together, bear the signatures of each of the other parties hereto.', 'This Agreement between HEMISPHERX and SCIEN shall be in effect beginning the last date of execution set forth on the signature page to the Agreement (the ""Effective Date"") to which this Quality Agreement is Exhibit 2 and remain in effect until HEMISPHERX and SCIEN terminate the Agreement or it is superseded by a revised Quality Agreement executed by both parties.']","['The Term will be 3 years from Effective Date with an automatic 2 year term extensions unless otherwise advised by one of the Parties.', 'This Agreement between HEMISPHERX and SCIEN shall be in effect beginning the last date of execution set forth on the signature page to the Agreement (the ""Effective Date"") to which this Quality Agreement is Exhibit 2 and remain in effect until HEMISPHERX and SCIEN terminate the Agreement or it is superseded by a revised Quality Agreement executed by both parties.']",['The Term will be 3 years from Effective Date with an automatic 2 year term extensions unless otherwise advised by one of the Parties.'],['The Term will be 3 years from Effective Date with an automatic 2 year term extensions unless otherwise advised by one of the Parties.'],"HEMISPHERX BIOPHARMA, INC (""HEMISPHERX""); Scientific Products Pharmaceutical Co. LTD (""SCIEN”)",3/31/16,,3/31/19,successive 2 years,
Monsanto Company - SECOND A&R EXCLUSIVE AGENCY AND MARKETING AGREEMENT .PDF,"['the ""Agent""', 'The Scotts Company', 'Monsanto', 'The Scotts Company LLC', 'Monsanto Company']","['August 31, 2017']","['September 30, 1998']",['This Agreement shall commence as of the Effective Date and shall continue unless and until terminated as provided herein.'],[],[],"Monsanto Company (""Monsanto""); The Scotts Company LLC (""The Scotts Company"",""Agent"")",8/31/17,9/30/98,perpetual,,
LECLANCHÉ S.A. - JOINT DEVELOPMENT AND MARKETING AGREEMENT.PDF,"['Leclanché', 'each a ""Party"""" and together ""Parties""', 'Oak Ridge', 'LECLANCHÉ S.A.', 'OAK RIDGE ENERGY TECHNOLOGIES INC']","['April 6, 2014']","['April 6, 2014']","['Subject to Article 22.2, this Agreement shall remain in force for an Initial Period of 1 year, which may be renewed by mutual consent for such period as the Parties may agree (""Term""), unless it is terminated earlier in accordance with this Agreement or for any of the following reasons:']",[],[],"LECLANCHÉ S.A. (""Leclanché""); OAK RIDGE ENERGY TECHNOLOGIES INC (""Oak Ridge""); (each a ""Party""” and together ""Parties"")",4/6/14,4/6/14,4/6/15,,
"Loop Industries, Inc. - Marketing Agreement.PDF","['each of Loop and Joint Venture Company is a ""Party""; together they are the ""Parties""', 'Loop', 'Indorama Loop Technologies, LLC', 'Joint Venture Company', 'Loop Industries, Inc.']","['September __, 2018']","['September __, 2018']",['This Agreement begins on the Effective Date and shall continue indefinitely unless sooner terminated as provided in this Article 5.'],[],[],"Loop Industries, Inc. (""Loop""); Indorama Loop Technologies, LLC (""Joint Venture Company”); Loop and Joint Venture Company (individually a ""Party, together they are the ""Parties"")",09/[]/2018,09/[]/2018,perpetual,,
NUVEEN - REMARKETING AGREEMENT.PDF,"['Fund', 'Nuveen AMT-Free Municipal Credit Income Fund', 'Investment Adviser', 'Remarketing Agent', 'Nuveen Fund Advisors, LLC', '[●]']",['[●]'],[],"['This Agreement shall terminate as to the Remarketing Agent and its obligations hereunder with respect to VRRM-MFP Shares upon the earliest to occur of (a) the effective date of the resignation or removal of such Remarketing Agent pursuant to Section 5(a) and Section 5(b), respectively, (b) the completion of a successful Transition Remarketing on a New Mode Commencement Date in connection with transition to a new Mode, or (c) the date on which no VRRM-MFP Shares are Outstanding.']",[],[],"Nuveen AMT-Free Municipal Credit Income Fund (“Fund”); Nuveen Fund Advisors, LLC; Nuveen Investments, Inc. (“Investment Adviser”); [●] (""Remarketing Agent”)",,,perpetual,,
"MetLife, Inc. - Remarketing Agreement.PDF","['Deutsche Bank Trust Company America', 'Remarketing Agents,', 'Deutsche Bank Securities Inc.', 'Stock Purchase Contract Agent', 'Deutsche Bank', 'Company', 'MetLife, Inc.']","['August 26, 2014']",[],"['In addition, the<omitted>obligations of the Remarketing Agents may be terminated by them by notice given to the Company prior to 12:00 noon, New York City time on the Remarketing Settlement Date if, prior to that time, any of the applicable conditions precedent to the obligations of the Remarketing Agents described in Section 5 hereof shall have failed to occur.']",[],[],"MetLife, Inc. (""Company""); Deutsche Bank Securities Inc. (""Deutsche Bank”, ""Remarketing Agents""); Deutsche Bank Trust Company America (""Stock Purchase Contract Agent"")",8/26/14,,perpetual,,
"PACIRA PHARMACEUTICALS, INC. - A&R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT .PDF","['F/K/A SKYEPHARMA, INC.', 'EKR', 'PACIRA PHARMACEUTICALS, INC.', 'EKR THERAPEUTICS, INC.', 'PPI']","['October 15, 2009']","['August 10, 2007']","['This Agreement shall commence on the Effective Date and, subject to earlier termination in accordance with the provisions of Section 16, shall continue in force for a period being the longer of fifteen (15) years from first Commercial Launch of the Product in the Territory or until  the expiration of the last valid claim in the PPI Patents covering the Product in any country of the Territory (the ""Initial Term"").']",['Thereafter  the term of this Agreement shall automatically renew for consecutive periods of two (2) years each.'],"['Notwithstanding the foregoing, this  Agreement can be terminated by EKR at the end of the Initial Term by delivery of written notice to PPI at least one hundred eighty (180)  days prior to the end of the Initial Term or any renewal term.']","PACIRA PHARMACEUTICALS, INC. (""F/K/A SKYEPHARMA, INC."", “PPI”); EKR THERAPEUTICS, INC. (""EKR"")",10/15/09,8/10/07,perpetual,successive 2 years,180 days
Principal Life Insurance Company - Broker Dealer Marketing and Servicing Agreement .PDF,"['Distributor, Issuer and Broker Dealer are   individually referred to as a ""Party"" and collectively as the ""Parties""', 'Issuer', 'Distributor', '(collectively ""Broker Dealer"")', 'ABC Company', 'Principal Life Insurance Company', 'Princor Financial Services Corporation', '_______________________ and its duly licensed insurance affiliates indicated on the signature page of this   Agreement']","['this ______ day of ________________, 2013,']","['this ______ day of ________________, 2013']",[],[],[],"Principal Life Insurance Company (""Issuer"", individually referred to as a “Party” and collectively with Distributor and Broker Dealer as the “Parties”); Princor Financial Services Corporation (""Distributor"", individually referred to as a “Party” and collectively with Issuer and Broker Dealer as the “Parties”); ABC Company and its duly licensed insurance affiliates indicated on the signature page of this   Agreement (collectively “Broker Dealer”, individually referred to as a “Party” and collectively with Issuer and Distributor as the “Parties”)",[]/[]/2013,[]/[]/2013,,,
"Reinsurance Group of America, Incorporated - A&R REMARKETING  AGREEMENT.PDF","['Reinsurance Group of America, Incorporated', 'together, the ""Issuers""', 'Barclays', 'Trust', 'RGA Capital Trust I', 'Barclays Capital Inc.', 'Company', 'Remarketing Agent']","['February 15, 2011']",[],"['In addition, the obligations of the Remarketing Agent  hereunder may be terminated by it by notice given to the Company prior to 5:00 p.m. (New York City time) on the date immediately preceding the  Commencement Date if, prior to that time, any of the events described in Sections 6(i), (j) or (k) shall have occurred.', 'This Agreement shall terminate (i) the Business Day immediately following the Remarketing Settlement Date, (ii) at 5:00  p.m., New York City time, on the last date of the Remarketing if the Remarketing is not successful or (iii) on the effective date of the resignation or  removal of the Remarketing Agent and the appointment of a new Remarketing Agent.']",[],[],"Reinsurance Group of America, Incorporated (""Company"", together with the Trust, the ""Issuers""); RGA Capital Trust I (""Trust"", together with the Company, the ""Issuers""); Barclays Capital Inc. (""Barclays"", ""Remarketing Agent"")",2/15/11,,perpetual,,
"SightLife Surgical, Inc. - STRATEGIC SALES & MARKETING AGREEMENT.PDF","['Imprimis Pharmaceuticals, Inc.', 'Imprimis', 'SightLife Surgical, Inc.', 'Surgical']",['4/28/2017'],"['This Agreement shall be effective on the later of the dates that it is executed by Imprimis and Surgical (the ""Effective Date"") and shall terminate pursuant to the terms of the SOW (the ""Term"").<omitted>4/28/2017', 'The Agreement shall commence on the Effective Date and, unless terminated earlier pursuant to this Agreement or extended by mutual agreement between the parties, shall continue in effect for thirty six (36) months following the Effective Date (the ""Term"").']","['The Agreement shall commence on the Effective Date and, unless terminated earlier pursuant to this Agreement or extended by mutual agreement between the parties, shall continue in effect for thirty six (36) months following the Effective Date (the ""Term"").', 'This Agreement shall be effective on the later of the dates that it is executed by Imprimis and Surgical (the ""Effective Date"") and shall terminate pursuant to the terms of the SOW (the ""Term"").']",[],[],"SightLife Surgical, Inc. (“Surgical”); Imprimis Pharmaceuticals, Inc. (“Imprimis”)",4/28/17,4/28/17,4/28/20,,
"Zounds Hearing, Inc. - MANUFACTURING DESIGN MARKETING AGREEMENT.PDF","['Subcontractor and Manufacturer may also be referred to herein individually as ""Party"" or collectively as the ""Parties"".', 'Subcontractor', 'InnerScope Hearing Technologies, Inc.', 'Zounds Hearing, Inc.', '""Manufacturer"")']","['October 3, 2018']","['October 3, 2018']","['Subject to earlier termination as provided in this Agreement, the initial term of this Agreement shall be for a period beginning on the Effective Date and ending ten (10) years thereafter unless this Agreement is terminated earlier as provided herein.']",['This Agreement will renew automatically thereafter for successive one-year terms unless and until one Party gives notification of termination with at least sixty (60) days written notice.'],['This Agreement will renew automatically thereafter for successive one-year terms unless and until one Party gives notification of termination with at least sixty (60) days written notice.'],"Zounds Hearing, Inc. (""Subcontractor”); InnerScope Hearing Technologies, Inc. (""Manufacturer); Subcontractor and Manufacturer (individually as “Party” or collectively as the “Parties"")",10/3/18,10/3/18,10/3/28,successive 1 year,60 days
NATIONALPROCESSINGINC_07_18_1996-EX-10.4-SPONSORSHIP AGREEMENT.PDF,"['NPC', 'NCB', 'National Processing Company', 'National City Bank of Kentucky']",[],"['June 30, 1996']",['The term of this Agreement shall be five years commencing on the Effective Date and ending at the close of business on the fifth anniversary of the Effective Date.'],['This Agreement shall automatically renew for successive one-year terms unless one party gives the other party written notice of non-renewal at least six months prior to automatic renewal.'],['This Agreement shall automatically renew for successive one-year terms unless one party gives the other party written notice of non-renewal at least six months prior to automatic renewal.'],"National Processing Company, (""NPC""); National City Bank of Kentucky, (""NCB"")",,6/30/96,6/30/01,successive 1 year,6 months
PACIFICSYSTEMSCONTROLTECHNOLOGYINC_08_24_2000-EX-10.53-SPONSORSHIP AGREEMENT.PDF,"['(""SLD"")', 'American Champion Media, Inc.', 'the ""Event""', 'ACM', 'Shun Li De Commerce & Trading Ltd']","['April 14, 2000']",[],[],[],[],"American Champion Media, (""ACM""); Shun Li De Commerce & Trading Ltd, (""SLD"")",4/14/00,,,,
PROLONGINTERNATIONALCORP_03_23_1998-EX-10.16-SPONSORSHIP AGREEMENT.PDF,"['Sabco', 'SABCO RACING, INC.', 'Prolong', 'Prolong Super Lubricants']",['19th day of December 1997'],[],['The term of this Agreement shall commence with the first race             ----- of the 1998 Winston Cup season and shall continue until the final race of the  year-2000 Winston Cup season.'],[],[],"SABCO RACING, INC. (""Sabco""); Prolong Super Lubricants (""Prolong"")",12/19/97,,,,
NETGROCERINC_07_31_1998-EX-10.15-SPONSORSHIP AGREEMENT.PDF,"['Excite', 'Excite, Inc.', 'NetGrocer, Inc.', 'NetGrocer']","['15th day of December, 1997']","['15th day of December, 1997']","[""The term of this Agreement will begin on December 15, 1997                   and will end the later of (i) December 15, 1999 or (ii)                   Excite's delivery of all of the guaranteed Click-throughs                   described in Section 1(f).""]",[],[],"Excite, Inc. (""Excite""); NetGrocer, Inc.(""NetGrocer"")",12/15/97,12/15/97,12/15/99,,
SONUSCORP_03_12_1997-EX-10.11-SPONSORSHIP AGREEMENT.PDF,"['the ""Sponsor""', 'C.M. OLIVER & COMPANY LIMITED', 'HEALTHCARE CAPITAL CORP.', 'the ""Issuer""']","['March 13, 1996']",[],"['This Agreement shall  terminate and,  subject to the provisions set forth below, be of no further  force or effect on the exercise by the Sponsor of its right to terminate  this Agreement as provided in subsection  6.2,  provided that, in any event,  sections  3, 7 and 8 and, in the event that such  termination  occurs by virtue of paragraph  6.2(b),  subsection 2.5 shall not terminate  (except as set forth  therein)  and shall  continue in full force and effect for the benefit of the Sponsor or the other parties to this Agreement, as the case may be.']",[],[],"HEALTHCARE CAPITAL CORP. (""Issue""); C.M. OLIVER & COMPANY LIMITED (""Sponsor"")",3/13/96,,perpetual,,
